station_id,gap_v2,gap_v3
BOMAustralia__228368A,0.064004956422054,0.10024062401512468
BOMAustralia__229214A,-0.022658587288168386,-0.1281638186851295
BOMAustralia__229229A,-0.0633858491418299,-0.1237242345759986
BOMAustralia__229245A,-0.5043114600245823,-0.2667694366282509
BOMAustralia__229248B,0.38269925051847425,-0.102844393248955
BOMAustralia__229249A,0.13826562564354666,-0.07199922215402071
BOMAustralia__229264A,0.03379538825185091,-0.12899373491163302
BOMAustralia__229616A,-0.7067505936680849,0.1554392936032512
BOMAustralia__229620A,-2.5386756622440174,-0.7335388184696875
BOMAustralia__229681B,0.2647695405800218,0.21848660879719106
BOMAustralia__230107A,-0.2675922648406217,0.32817409574804
BOMAustralia__230211A,-0.5607215813480684,-0.2962263982299274
BOMAustralia__231200,-0.5954540549008138,0.5807257426898275
BOMAustralia__231204,-0.5437631829372688,0.2610362084289316
BOMAustralia__231704A,-48.79972799879504,10.076851353284104
BOMAustralia__232200,-1.8724132705232297,3.2863279908895713
BOMAustralia__232202,-0.5024375632300052,-0.7297537408714855
BOMAustralia__232204,-0.5750656716378147,-0.1548216319700421
BOMAustralia__232214A,3.1309664710506735,-1.7728970812221287
BOMAustralia__233224,0.37627659929415297,-0.03957513816240987
BOMAustralia__233250,0.4365152021202281,4.2240503505441485
BOMAustralia__233706,0.2146523561368304,-0.49784405378860735
BOMAustralia__233718,-0.5493842303049457,3.0334914324377933
BOMAustralia__234212,0.910120105926354,-0.2982651331723608
BOMAustralia__235205,0.12240174761476003,-0.24366317158912393
BOMAustralia__235212,-0.271964678671118,-0.13054069271527072
BOMAustralia__235242,-0.0504665303071494,-0.06566444022092531
BOMAustralia__235256,-0.27754790800254603,-0.05885474432725027
BOMAustralia__237202,-0.14571330687165884,0.5389423124200681
BOMAustralia__237207,0.06951478825006296,-0.29728532282727765
BOMAustralia__238218,-0.07019474040113549,0.8112122495823282
BOMAustralia__238228,0.021937163821748706,-0.4299882955467058
