station_id,cv_M0,n_days_M0,cv_M1,n_days_M1,ratio_M1_over_M0
GRDCCaravan__1160780,0.20818713,1076,0.115297675,1076,0.5538175
GRDCCaravan__1160785,0.3470072,1629,0.061779,1629,0.17803378
GRDCCaravan__1160790,0.18304907,1603,0.13922046,1603,0.7605636
GRDCCaravan__1160793,0.19719072,1273,0.08258311,1273,0.41879815
GRDCCaravan__1160800,0.33980906,1337,0.10056528,1337,0.29594642
GRDCCaravan__1160840,0.5212723,1600,0.2644841,1600,0.50738186
GRDCCaravan__1160842,0.24030907,1628,0.1079401,1628,0.44917196
GRDCCaravan__1160894,0.12239837,1615,0.086511865,1615,0.7068057
GRDCCaravan__1160913,0.22618283,820,0.10478018,820,0.46325436
GRDCCaravan__1160919,0.06199488,198,0.085979134,198,1.3868748
GRDCCaravan__1160940,0.17052187,1619,0.26126868,1619,1.532171
GRDCCaravan__1160950,1.1269488,1215,0.18752432,1215,0.16640003
GRDCCaravan__1160965,0.20879032,1627,0.17664044,1627,0.8460183
GRDCCaravan__1160971,0.15389855,1165,0.10233458,1165,0.6649483
GRDCCaravan__1160975,0.11694088,919,0.11491752,919,0.98269755
GRDCCaravan__1160979,0.10359545,287,0.096342735,287,0.92999
GRDCCaravan__1196142,0.15371303,1641,0.1325751,1641,0.8624844
GRDCCaravan__1196160,0.11608437,1622,0.14997339,1622,1.2919345
GRDCCaravan__1196190,0.31384256,1632,0.07675043,1632,0.24455072
GRDCCaravan__1196215,0.18221396,1639,-0.5139563,1639,-2.8206198
GRDCCaravan__1196310,0.085498184,1587,0.08834804,1587,1.0333323
GRDCCaravan__1196340,0.1690372,874,0.4440586,874,2.6269875
GRDCCaravan__1196445,0.14941114,1267,0.60249406,1267,4.0324574
GRDCCaravan__1196700,0.39648795,1630,0.070917845,1630,0.17886508
GRDCCaravan__1196720,-0.28933597,715,-0.21438894,715,0.7409688
GRDCCaravan__1197501,0.13214907,1640,0.14312434,1640,1.0830522
GRDCCaravan__1197502,0.54859424,1644,0.34764105,1644,0.6336943
GRDCCaravan__1197505,0.12906626,1642,0.13833213,1642,1.0717915
GRDCCaravan__1197540,0.4677934,1630,0.10740484,1630,0.22959888
GRDCCaravan__1197550,0.35707143,1617,0.1671353,1617,0.46807244
GRDCCaravan__1197560,0.28485352,1635,0.09730631,1635,0.34160122
GRDCCaravan__1197700,0.25593987,1644,0.108353555,1644,0.42335552
GRDCCaravan__1197701,0.33226204,1640,0.08256906,1640,0.24850586
GRDCCaravan__1197710,0.23351686,1635,0.21714033,1635,0.92987007
GRDCCaravan__1197730,0.16226885,1639,0.06851194,1639,0.42221254
GRDCCaravan__1197745,0.17738406,531,0.15653177,531,0.8824455
GRDCCaravan__1197750,0.16534667,965,0.3985963,965,2.4106703
GRDCCaravan__1199200,0.31760126,1467,0.11319592,1467,0.3564089
GRDCCaravan__1199310,0.18255526,1524,0.18961649,1524,1.03868
GRDCCaravan__1199450,-0.39501315,1126,0.11987464,1126,-0.30347
GRDCCaravan__1199460,0.32268998,1620,0.11724094,1620,0.36332378
