station_id,kge_M0,nse_M0,kge_r_M0,kge_alpha_M0,kge_beta_M0,n_days_M0,kge_M1,nse_M1,kge_r_M1,kge_alpha_M1,kge_beta_M1,n_days_M1,kge_era5_land,nse_era5_land,kge_r_era5_land,kge_alpha_era5_land,kge_beta_era5_land,n_days_era5_land
GRDCCaravan__1160720,0.24655976017782422,0.6201030744391693,0.8744398052509025,0.5806011979088144,0.38680225270933594,1644,0.5048381067389845,0.700554218405873,0.9051123155912725,0.5729249393970542,0.7680764770525137,1644,0.007464858463367086,-0.40983525132175425,0.19037007325812189,0.8227603641174467,0.45391255244118184,1644
GRDCCaravan__1160721,0.13228781591240146,0.293561411120998,0.6835901822530702,0.500688394368171,0.3647857195175867,1225,0.628540522538032,0.606588742587609,0.7859167875384022,0.744703290535575,0.8357620273046527,1225,-0.239133244194085,-2.7510784293880937,0.36558948753985704,2.0639361721597256,1.031848392693,1225
GRDCCaravan__1160725,0.22396633088863194,0.635567800002864,0.9579010331780499,1.4479586292932807,1.632288699115097,666,0.36778193061873576,0.7596557220397226,0.9350672735425448,1.214557163501729,1.5911418204433405,666,-1.2131120184380828,-7.726400915966259,0.16822551127609353,2.9449893586578852,1.650409410118547,666
GRDCCaravan__1160750,-0.16088566579883534,0.294088882844622,0.7858770911041955,0.26217044007780416,0.12970438961912306,1534,0.25769192858004486,0.4104116965911834,0.7655081998711081,0.35246849291241955,0.7229840872866472,1534,-0.03348976266949899,-0.06824044727549095,0.491515544040846,0.9986579809746804,1.899745990030251,1534
GRDCCaravan__1160755,-0.16854382986443062,0.14898988798608714,0.6007833495638298,0.33542127135646665,0.1256683342327689,1640,0.4160662213280929,0.5393925322852127,0.7772496954621886,0.562122107438147,0.6843674432065756,1640,-0.6784154902503969,-1.845709624174047,0.5522041088264104,1.8998364395532636,2.344191868675241,1640
GRDCCaravan__1160756,0.05616969621983181,0.43729754678307975,0.7933072640930839,0.4986869133848691,0.2274853111781701,1618,0.6856293793578632,0.7006291974418526,0.8447099289707033,0.7343846836136937,0.9354834543420006,1618,-1.2859132324032938,-3.177341733983525,0.5654225450334571,2.265850075419659,2.8531501094815073,1618
GRDCCaravan__1160763,-0.10222329005739339,0.2571468782623052,0.8096755953123022,0.3215700771114026,0.15241186779510071,1315,0.26989780988219636,0.5794463645955685,0.8922985542598224,0.4958785908440603,0.48297851937185565,1315,0.17335846699349056,-1.1801838384014611,0.28316194769892117,1.4053042460836123,0.927834225763578,1315
GRDCCaravan__1160765,-0.26473980166354405,0.1379631273271369,0.8547453296924097,0.15384823864304856,0.07129388748738034,1617,0.49141371810009704,0.6340996901574707,0.8593720858965268,0.5414821682287715,0.8307510890449066,1617,0.18452084431810634,-0.22272685919402369,0.2519297622515081,0.7805759541717152,0.76072973260575,1617
GRDCCaravan__1160770,0.08242183104153722,0.5173909342020244,0.8461518740906915,0.5017601276279959,0.24499173522266132,1354,0.76966869529819,0.8089354693064488,0.9070973096449384,0.7892430654144544,1.0017648157222894,1354,-0.5695803143302451,-2.424269250090372,0.33153258450689166,1.8666593544568517,2.1250045514972054,1354
GRDCCaravan__1160773,0.015411701889472051,0.36813957431636857,0.8471484206150207,0.3792222827323916,0.2512106189323192,896,0.6376247160031105,0.70980903889528,0.8601906615115348,0.7034347514320427,0.8456683808642257,896,0.25663882320874243,-0.652165873413799,0.2918266932887421,1.1464792984964451,0.8278947358907484,896
GRDCCaravan__1160775,0.09380613020574191,0.38685087195616685,0.7336151098533906,0.5130866436162055,0.2836608321965498,1622,0.3966553206058242,0.6081265620139389,0.8159442539014266,0.7632512230053746,0.4764560180148114,1622,0.16967233208505927,-1.2211861168557303,0.33357173372374654,1.4872028895216176,1.0891669583134775,1622
GRDCCaravan__1160780,0.490883263912156,0.7860670547393132,0.9173112110489924,0.7080185680877027,0.5912100067699803,1076,0.6538422972289,0.7849751391098778,0.91598576534786,0.685571616632063,1.1179048569661403,1076,0.13928499890328216,-0.6090483248429064,0.4155663564024627,1.2872169443076862,0.43717315607126084,1076
GRDCCaravan__1160785,0.70789393792537,0.6653425574729959,0.8358123235107798,0.9931703998560756,0.7585011077630109,1629,0.80325607396532,0.7651849828173727,0.895550473771868,1.0791109530562895,1.1467648663978678,1629,-0.33612960300134076,-2.538314361853091,0.2680005263694995,1.8605332820046718,1.713373364503791,1629
GRDCCaravan__1160790,0.6496740351227914,0.5830088786526302,0.7937190935132441,0.9897427682369698,1.2829686528269677,1603,-0.20541561252859575,0.48264448794473336,0.8522480489664754,1.1578928797781294,2.1858608680654092,1603,-0.6289558355690366,-4.714700899743475,0.23357536983927177,2.4159407681562888,1.2473906659322216,1603
GRDCCaravan__1160793,-0.3516736475530984,-0.1046265327185365,0.40451537942588245,0.1495374495643146,0.13447520748644864,1273,0.3597583559558396,0.3996014740278728,0.6609510837246511,0.5281780243766331,0.7310404891814685,1273,-0.4900309724866465,-0.23281928232642413,0.12471130370866991,0.23576475250033233,0.06725861912679837,1273
GRDCCaravan__1160800,0.37559365638180575,0.30227288558900345,0.557968257453695,0.6262111762187544,0.765963388017275,1337,0.4234110250229587,0.26964775643375627,0.5848671174973881,0.8334450761673956,1.3638392409804956,1337,-1.7367610123766113,-5.371713772037599,0.01677714004932164,2.246796368114336,3.229042947767486,1337
GRDCCaravan__1160840,0.33296918413564003,0.2831516966063059,0.6257382226585476,0.8716273287965078,0.4629909790124836,1600,0.5278974754324841,0.5336632539990414,0.7413390625833532,0.7529885005654364,0.6918431693035962,1600,-1.0444788797907716,-3.845848940341507,0.48945386003593566,2.432387790025706,2.366565676381343,1600
GRDCCaravan__1160842,0.03841004802502623,0.27661141864467675,0.6142492190838991,0.49530698843706505,0.2781021299093715,1628,0.07329278200924794,0.32816490704155943,0.6864039030429558,0.4153643842383595,0.35297221649107313,1628,0.009678643290922828,-1.3015702820425643,0.37219188450249424,1.5526144148720755,1.5302930021650025,1628
GRDCCaravan__1160894,0.5160091383772174,0.5557558384126573,0.7867866127765973,0.8848637078309013,0.5810359921560817,1615,0.799520955878874,0.680583810165496,0.8278933646445946,0.897295224467543,1.0047835427446123,1615,0.019790724806481585,-0.8218641301481542,0.5920093975060796,1.6141749035319095,1.6458661465997582,1615
GRDCCaravan__1160913,0.4167604184815482,0.24162957175037703,0.5716412159999184,0.8382509412582045,0.6387322272663484,820,0.5305396094621374,0.2782774376628184,0.6155956568877151,0.92140674900184,1.2577779280270431,820,-0.12402010352930937,-0.40738324884333466,0.10533209312436648,0.7193953713596757,0.38011971161325214,820
GRDCCaravan__1160919,-1.3817451867335504,-1.3460358092609277,0.616008630305552,1.338495891988362,3.326087120818053,198,-3.014204986953027,-5.441751099198988,0.6413633757630909,2.2713963315797043,4.790616416505392,198,-3.8597041888620343,-31.245096271167263,0.0513573457932137,5.612583404943438,2.2003650487677113,198
GRDCCaravan__1160940,-0.3650688903963448,-0.04002504588818612,0.5593958578294512,0.03825851971719288,0.1372518382902818,1619,0.25049061148007756,0.43994773968825385,0.7738892681274379,0.39565315531107026,0.6186823480009129,1619,-0.36524329394498944,-0.16342435223877194,0.1457919871538204,0.4516714826318749,0.08700834642806313,1619
