station_id,split,model,mean_peak_lag_hours,matched_peak_count,obs_peak_count,pred_peak_count
01171300,test,baseline,,0,0,0
01173500,test,baseline,14.6,60,94,95
03021350,test,baseline,-2.6171875,128,159,161
04062200,test,baseline,,0,0,0
04074548,test,baseline,,0,0,0
04270510,test,baseline,,0,0,0
04285500,test,baseline,0.8611111111111112,36,88,75
04288225,test,baseline,9.571428571428571,7,38,10
04290500,test,baseline,5.378048780487805,82,115,154
05124480,test,baseline,3.25,4,8,238
05379400,test,baseline,-5.434782608695652,23,25,49
01030500,test,transfer,-14.28,25,34,213
01031300,test,transfer,2.0163934426229506,61,77,205
01054200,test,transfer,8.791666666666666,48,65,88
01073319,test,transfer,-19.2,40,57,72
01081000,test,transfer,-10.208333333333334,24,36,236
01085000,test,transfer,,0,0,0
01089500,test,transfer,-2.3125,48,65,119
01091000,test,transfer,-4.38,50,73,91
01091500,test,transfer,,0,0,0
01092000,test,transfer,-1.0377358490566038,53,79,274
01093800,test,transfer,,0,0,0
01099500,test,transfer,-10.272727272727273,22,26,323
01100627,test,transfer,-20.692307692307693,26,38,269
01103280,test,transfer,-10.258064516129032,31,33,120
01134500,test,transfer,-5.069444444444445,72,106,155
01135500,test,transfer,8.716981132075471,53,117,94
01161000,test,transfer,-15.525,40,68,89
01170000,test,transfer,13.263565891472869,129,208,191
01170100,test,transfer,14.85,80,110,165
01171300,test,transfer,,0,0,0
01173500,test,transfer,0.6481481481481481,54,94,109
03021350,test,transfer,-1.684782608695652,92,159,123
04062200,test,transfer,,0,0,0
04074548,test,transfer,,0,0,0
04270510,test,transfer,,0,0,0
04285500,test,transfer,-5.589743589743589,39,88,165
04288225,test,transfer,-13.714285714285714,7,38,66
04290500,test,transfer,4.1875,80,115,146
05124480,test,transfer,,0,8,137
05379400,test,transfer,-6.782608695652174,23,25,65
01030500,test,symbolic,-21.23076923076923,26,34,196
01031300,test,symbolic,0.5507246376811594,69,77,265
01054200,test,symbolic,6.090909090909091,55,65,134
01073319,test,symbolic,-14.1875,48,57,99
01081000,test,symbolic,-4.870967741935484,31,36,341
01085000,test,symbolic,,0,0,0
01089500,test,symbolic,-1.1,50,65,91
01091000,test,symbolic,-3.629032258064516,62,73,101
01091500,test,symbolic,,0,0,0
01092000,test,symbolic,5.88135593220339,59,79,246
01093800,test,symbolic,,0,0,0
01099500,test,symbolic,-21.043478260869566,23,26,208
01100627,test,symbolic,-24.735294117647058,34,38,285
01103280,test,symbolic,-11.6875,32,33,147
01134500,test,symbolic,-2.2666666666666666,75,106,155
01135500,test,symbolic,9.942307692307692,52,117,66
01161000,test,symbolic,-6.30188679245283,53,68,128
01170000,test,symbolic,16.65765765765766,111,208,140
01170100,test,symbolic,14.35897435897436,78,110,132
01171300,test,symbolic,,0,0,0
01173500,test,symbolic,-3.7903225806451615,62,94,131
03021350,test,symbolic,-1.2727272727272727,99,159,120
04062200,test,symbolic,,0,0,0
04074548,test,symbolic,,0,0,0
04270510,test,symbolic,,0,0,0
04285500,test,symbolic,-1.2926829268292683,41,88,100
04288225,test,symbolic,6.592592592592593,27,38,104
04290500,test,symbolic,3.3404255319148937,94,115,218
05124480,test,symbolic,-4.8,5,8,379
05379400,test,symbolic,-7.72,25,25,79
