split,station_id,samples,lstm_nse,lstm_kge,corrected_nse,corrected_kge
test,02307000,2340,0.6550924837125083,0.5426308274078275,0.3525189385768931,-0.041446899799775005
test,02343225,2460,-0.2819024364968419,-0.21201303618095757,-0.040275485960022284,-0.06088916657013277
test,02390000,2462,-61.241334196454176,-6.7541817388697405,-70.58614859413696,-7.323163424299848
test,02399200,2445,0.7687775056880143,0.799420423963527,0.76914269373255,0.8185845825359312
test,02413210,2436,0.7867613025946679,0.8006759427591084,0.7889869037896127,0.8207122587725718
test,02423130,2345,0.6205096251176283,0.6623620349159127,0.6044351589414252,0.5823128803617421
test,02455000,2367,0.8157494830630008,0.7735667180826816,0.8175455737872852,0.7802483157294742
test,02458450,2462,0.6137111616771593,0.5705483034121365,0.6074482821575846,0.49189740481146715
test,02470072,2428,0.7151347784301767,0.7811431204577063,0.09399463493222404,-1.8305672686288395
test,03164000,2258,0.7988074702553903,0.834561468015085,0.7451172981944464,0.8090856918176467
test,03601630,1340,-9413.223308887005,-106.95805182718054,-9490.15482070037,-107.53231474591158
test,07058000,2390,0.7736702090046343,0.7699830942883714,0.7752639668429486,0.7789990198955081
test,07071500,2465,0.582751481148365,0.719348032649068,0.5808332434373711,0.7242395550212126
test,07076517,2442,0.441483727361519,0.5458583240119534,0.4431287420625719,0.5552477918392749
test,07281600,2393,0.572686429968484,0.7836663811542206,0.5951030798784822,0.7812137002202474
test,07346045,2459,-0.23086040794812512,-0.6085229555188871,-0.1356379654291291,-0.42896589607653013
test,07369500,2467,0.762552799023815,0.7428475091596223,0.7506344598969401,0.6303897589806158
test,07375960,2423,-2.4272248279712803,-1.2624528873326168,-2.088875556022242,-1.2128360219968877
test,07377000,2460,0.7755376020833167,0.7652685569404967,0.7684657568111521,0.7331546799356878
test,08039100,127,-1.5324630670812356,-0.3819252207529784,-1.3519434787247038,-0.35016726217799654
