alpha,beta,tau,sharpness,val_corrected_kge,val_corrected_nse,val_negative_kge_stations,val_negative_nse_stations
1.0,0.6,0.4,0.1,0.7121036496504145,0.7365286896026194,0,0
0.4,1.0,0.0,0.2,0.7120955616295495,0.7219425349347028,0,0
0.8,0.6,0.4,0.2,0.7120456054782347,0.7325956581255217,0,0
0.8,0.6,0.2,0.05,0.7120249073643599,0.7329509526397255,0,0
0.4,0.8,0.2,0.35,0.7120069022498161,0.7264771621514943,0,0
1.2,0.6,0.4,0.05,0.7119403958208341,0.7305384001966406,0,0
0.8,0.8,-0.4,0.1,0.7119075233013237,0.7276946788084036,0,0
0.8,0.6,0.0,0.2,0.7118720867275996,0.7321942919228183,0,0
0.8,0.6,0.2,0.1,0.7118522557023508,0.7329014095232054,0,0
0.6,0.6,-0.4,0.2,0.7117730592722091,0.7307486085576538,0,0
1.0,0.6,0.4,0.2,0.7116844749951148,0.7364249281001678,0,0
1.0,0.8,0.2,0.35,0.711677206729133,0.7320585342970207,0,0
1.0,0.8,0.4,0.2,0.7116671486476716,0.7338158026176311,0,0
0.4,1.0,0.0,0.1,0.7115973852295538,0.7219461879778586,0,0
0.8,0.6,0.4,0.1,0.7115035128318004,0.7325538774852831,0,0
0.8,0.6,0.2,0.35,0.7114964123130604,0.7319363514955488,0,0
1.2,0.4,-0.2,0.35,0.7114818309356994,0.7330662596467868,0,1
0.8,0.6,-0.2,0.1,0.7114693917529074,0.7312641602985339,0,0
0.8,0.6,0.4,0.05,0.711425575493333,0.7322607642860468,0,0
0.4,1.0,0.0,0.05,0.7113671443272752,0.7219622462027813,0,0
0.4,0.4,-0.4,0.2,0.711362795558029,0.7354221931479286,0,1
1.2,0.4,0.0,0.05,0.7112530618218975,0.7337475091276348,0,1
0.4,0.6,0.0,0.05,0.711204477767797,0.731104976367351,0,0
1.2,0.4,0.0,0.1,0.7111200741830725,0.7336447576563722,0,1
1.2,0.6,-0.4,0.35,0.711110350287634,0.7287230677129399,0,0
0.4,0.4,-0.4,0.1,0.7110518190384433,0.7343986930461857,0,1
1.0,0.8,0.4,0.1,0.7110070081993555,0.7334037400967127,0,0
0.4,0.4,-0.4,0.05,0.711000135206055,0.7336221035413558,0,1
1.0,0.6,0.4,0.35,0.7109124329900527,0.7361656619061612,0,0
1.2,0.4,0.0,0.2,0.7107956827876254,0.7336118662051709,0,1
1.0,0.8,0.4,0.05,0.7107599193053373,0.7331388858661867,0,0
1.0,0.8,0.0,0.35,0.710755114564754,0.7299996298401923,0,0
0.8,1.0,0.2,0.35,0.7107454375910873,0.7307271630750144,0,0
0.8,1.0,0.4,0.2,0.7107078600163134,0.7318597406696409,0,0
1.2,0.6,-0.2,0.2,0.7106812558137952,0.728635990664291,0,0
1.2,0.6,0.2,0.05,0.7104834921396567,0.7292560886792243,0,0
1.2,0.6,0.2,0.1,0.7104833543597311,0.7291966322553909,0,0
1.0,0.8,0.2,0.2,0.7104634408097279,0.7315426721532516,0,0
0.8,0.6,-0.2,0.2,0.710428265094424,0.7313026227548578,0,0
0.8,0.6,0.2,0.2,0.7104150532817373,0.7325799543143303,0,0
0.4,0.6,0.2,0.2,0.7103869092542079,0.7308433464123519,0,0
1.2,0.6,-0.2,0.1,0.7103853266613557,0.7286655806531326,0,0
1.2,0.6,-0.4,0.2,0.7102998561879497,0.7287646487162032,0,0
0.6,1.0,-0.2,0.2,0.7102887678115002,0.7214730528906782,0,0
1.2,0.6,-0.2,0.05,0.7102828248782855,0.7286689832137708,0,0
1.2,0.6,0.2,0.2,0.7102169881634324,0.729196716244064,0,0
1.0,0.8,-0.2,0.35,0.71007747287482,0.7280997284203587,0,0
1.0,0.6,0.0,0.35,0.7100689273629288,0.7359589977840219,0,0
0.4,0.8,0.0,0.2,0.7100358299019722,0.7265728868235578,0,0
1.2,0.4,0.0,0.35,0.7099005513484344,0.7339524227367376,0,1
1.0,0.8,0.2,0.1,0.7098953048858804,0.7314768816944153,0,0
0.8,1.0,0.4,0.1,0.7098824921483531,0.731606651262446,0,0
1.0,0.8,0.2,0.05,0.7097812012489166,0.7315251624416119,0,0
1.2,0.6,0.2,0.35,0.7096916098544861,0.729529413624664,0,0
1.0,0.8,0.0,0.2,0.7096375440539571,0.7292401719719219,0,0
1.0,0.8,-0.4,0.35,0.7096046445972343,0.7264594754863727,0,0
0.6,0.8,-0.4,0.35,0.7095864172131212,0.7262366495512333,0,0
0.8,1.0,0.0,0.35,0.7095863742665749,0.729884179013134,0,0
0.8,1.0,0.4,0.05,0.7095785586303005,0.7310403146726396,0,0
0.8,0.6,0.0,0.35,0.7095685525238339,0.7316670066149221,0,0
0.6,1.0,-0.2,0.1,0.7094786918501699,0.7214922905863466,0,0
1.2,0.4,0.2,0.05,0.7094172519690224,0.7348390047139988,0,1
1.2,0.4,0.2,0.1,0.7093705988860732,0.73479235706096,0,1
1.2,0.6,-0.4,0.1,0.7092641929204457,0.7287864510308302,0,0
0.6,1.0,-0.2,0.05,0.7092641343645772,0.7214842100767807,0,0
0.8,1.0,0.2,0.2,0.7092237808213007,0.7315372596565973,0,0
1.0,0.8,0.0,0.1,0.709155623480284,0.7292188254914995,0,0
1.0,0.8,-0.2,0.2,0.7091146419930734,0.7269038801435653,0,0
1.0,0.8,0.0,0.05,0.7090581196881249,0.729369505605135,0,0
1.2,0.4,0.2,0.2,0.7090488083686102,0.734781534016311,0,1
0.4,0.6,0.0,0.1,0.7090245937384654,0.7310845590749329,0,0
1.2,0.6,-0.4,0.05,0.7088554152291543,0.7287853417949751,0,0
1.0,0.8,-0.4,0.2,0.7088406504998728,0.7248916858789344,0,0
0.8,1.0,-0.2,0.35,0.7087117153836517,0.7286569498319466,0,0
