station_id,source,lat,long,area,provenance,polygon_source,polygon_area_km2,area_ratio,west,south,east,north
GRDC__1993180,GRDC,-10.683,34.183,678.0,continent_pub_baseline,station_boundary,675.8440820861866,0.9968201800681219,33.6,-10.9,34.300000000000004,-10.3
GRDC__1259500,GRDC,-28.725,28.62,57.0,continent_pub_baseline,station_boundary,50.192145540686724,0.880563956854153,28.5,-28.900000000000002,28.900000000000002,-28.5
GRDC__1591800,GRDC,-15.217,28.5,64.29,continent_pub_baseline,station_boundary,806.5603472837306,12.545657913885993,28.1,-15.5,28.700000000000003,-14.8
GRDC__1993100,GRDC,-9.81,33.86,1410.0,continent_pub_baseline,station_boundary,1458.8684774027024,1.0346584946118458,33.2,-10.4,34.0,-9.5
GRDC__1634560,GRDC,9.27,-9.02,1902.933,continent_pub_baseline,station_boundary,1711.45639939721,0.8993781701180282,-9.4,8.5,-8.700000000000001,9.5
GRDC__1259520,GRDC,-28.833,28.72,81.0,continent_pub_baseline,station_boundary,70.41999002088681,0.8693825928504545,28.6,-29.1,29.0,-28.700000000000003
GRDC__1591460,GRDC,-13.303,23.364,1749.0,continent_pub_baseline,station_boundary,1721.6695621357017,0.9843736776076053,23.200000000000003,-13.5,24.200000000000003,-12.600000000000001
GRDC__1491830,GRDC,-17.633,31.6,1194.0,continent_pub_baseline,station_boundary,1173.6589914107303,0.9829639794059718,31.400000000000002,-18.3,32.0,-17.5
GRDC__1309850,GRDC,34.6,-4.55,1758.0,continent_pub_baseline,station_boundary,1730.8846016039824,0.9845759963617647,-4.7,34.4,-3.8000000000000003,35.1
GRDC__1992840,GRDC,-16.0,35.3,1446.0,continent_pub_baseline,station_boundary,1441.4868152011788,0.9968788486868456,34.9,-16.2,35.800000000000004,-15.600000000000001
GRDC__1993320,GRDC,-11.78,34.225,2320.0,continent_pub_baseline,station_boundary,2324.3625285691983,1.001880400245344,33.6,-12.200000000000001,34.4,-11.200000000000001
GRDC__1286150,GRDC,-8.85,34.183,433.0,continent_pub_baseline,station_boundary,425.0111753300897,0.9815500584990524,34.0,-9.3,34.5,-8.700000000000001
GRDC__1577100,GRDC,8.7,38.6,4456.0,continent_pub_baseline,station_boundary,4498.556059372222,1.0095502826239278,37.800000000000004,8.200000000000001,38.800000000000004,9.5
GRDC__1591490,GRDC,-11.867,27.133,110.0,continent_pub_baseline,station_boundary,110.11435712183416,1.0010396101984924,26.900000000000002,-12.0,27.3,-11.600000000000001
GRDC__1993580,GRDC,-13.95,33.767,918.0,continent_pub_baseline,station_boundary,940.3471738646404,1.024343326649935,33.300000000000004,-14.200000000000001,34.0,-13.5
